State,District,Y,X,Well Type,Village,Depth (m.bgl),Depth to Water Level (m.bgl),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Tamil Nadu,Cuddalore,11.3619,79.4669,Tube Well,Palaiyamkottai EW,440.0,66.09,65.48,46,43.96,73
Tamil Nadu,Cuddalore,11.3619,79.4669,Tube Well,Palaiyamkottai OW -1,235.0,45.35,44.12,52.65,67.3,
Tamil Nadu,Cuddalore,11.3619,79.4669,Tube Well,Palaiyamkottai OW -2,152.0,,,56.02,63.75,
Tamil Nadu,Cuddalore,11.4161,79.5722,Tube Well,Parudur Pz-1,100.4,50.79,49.62,45.45,46.3,45.85
Tamil Nadu,Cuddalore,11.4161,79.5722,Tube Well,Parudur Pz-2,100.4,,,50.4,49.65,
Tamil Nadu,Cuddalore,11.4161,79.5722,Tube Well,Parudur Pz-3,100.05,,,46.68,48.9,
Tamil Nadu,Cuddalore,11.4894,79.7156,Dug Well,Periyakumudhi,5.81,2.01,,1.4,2.36,2.98
Tamil Nadu,Cuddalore,11.4917,79.7542,Dug Well,Porto-nova,4.95,1.7800000000000002,2.86,1.44,1.8,2.9
Tamil Nadu,Cuddalore,11.5417,79.5778,Tube Well,Rajankuppam PZ,100.4,15.639999999999999,26.65,15.54,18.39,29.9
Tamil Nadu,Cuddalore,11.6872,79.6942,Tube Well,Ramapuram -I EW,149.4,39.5,42.19,28.36,45.46,41.56
Tamil Nadu,Cuddalore,11.6872,79.6942,Tube Well,Ramapuram -II EW1,199.15,49.1,,38.74,37.06,66.37
Tamil Nadu,Cuddalore,11.5394,79.5914,Dug Well,Reddipalayam DW,14.25,2.09,2.74,1.75,2.2,2.55
Tamil Nadu,Cuddalore,11.5322,79.5967,Tube Well,Reddipalayam pz,99.8,8.100000000000001,,6.14,11.65,25.7
Tamil Nadu,Cuddalore,11.5186,79.3697,Dug Well,Sattamangalam,9.8,2.4699999999999998,3.96,2.46,3.1,3.87
Tamil Nadu,Cuddalore,11.5294,79.5311,Dug Well,Seerakuppam dw,15.5,4.5200000000000005,4.4,2.5,3.75,5.7
Tamil Nadu,Cuddalore,11.5386,79.5189,Tube Well,Sengalpalayam I pz,100.4,85.85000000000001,,81.84,82.55,84.38
Tamil Nadu,Cuddalore,11.5386,79.5189,Tube Well,Sengalpalayam Ii pz,100.4,83.75,82.87,80.96,81.39,83.08
Tamil Nadu,Cuddalore,11.4667,79.6333,Tube Well,Sethiathope II,200.0,33.15,33.54,,31.24,
Tamil Nadu,Cuddalore,11.4667,79.6333,Tube Well,Sethiathope1,249.0,57.45,57.84,,55.48,59.2
Tamil Nadu,Cuddalore,11.6956,79.61,Tube Well,Silaminathanpettai I,348.0,72.3,64.2,54.35,57.17,64.9
Tamil Nadu,Cuddalore,11.6956,79.61,Tube Well,Silaminathanpettai II,140.15,59.6,,61.92,61.55,64.47
Tamil Nadu,Cuddalore,11.3617,79.5083,Dug Well,Solatharam,6.8,2.27,1.51,1.46,2,2.56
Tamil Nadu,Cuddalore,11.405,79.3983,Tube Well,Srimushanam PZ,100.4,42.699999999999996,,40.68,42.57,48.44
Tamil Nadu,Cuddalore,11.5692,79.6789,Dug Well,Teerthanagiri DW,4.45,2.8200000000000003,4.26,1.4,2.27,5.58
Tamil Nadu,Cuddalore,11.5772,79.6831,Tube Well,Teerthanagiri EW,280.0,,,5.54,11.8,13.46
Tamil Nadu,Cuddalore,11.5772,79.6831,Tube Well,Teerthanagiri OW-1,238.0,18.889999999999997,,25.07,21.61,35.85
Tamil Nadu,Cuddalore,11.5892,79.5275,Dug Well,Tekkumellur DW,7.2,2.37,2.56,1.96,2.3,2.54
Tamil Nadu,Cuddalore,11.5839,79.6336,Tube Well,Thaiyalkunapattinam pz,186.0,27.599999999999998,,27.84,25,27.41
Tamil Nadu,Cuddalore,11.4083,79.0083,Dug Well,Tholudur(Dug ),11.0,1.9499999999999997,5.22,2.84,3.85,4.3
Tamil Nadu,Cuddalore,11.6164,79.7414,Dug Well,Tiruchchopuram DW,6.1,4.39,6.74,1.67,5,6
Tamil Nadu,Cuddalore,11.5375,79.5417,Dug Well,Vadalur,23.9,3.4400000000000004,4.9,2.46,3.25,5.16
Tamil Nadu,Cuddalore,11.5603,79.5561,Tube Well,Vadalur EW,170.0,26.38,23.72,3.52,6.27,23.98
Tamil Nadu,Cuddalore,11.5603,79.5561,Tube Well,Vadalur OW-1,115.0,82.15,31.15,77.78,78.78,32.92
Tamil Nadu,Cuddalore,11.5867,79.5333,Tube Well,Vanathirayapuram I,199.4,87.88000000000001,100,84.86,85.49,87.06
Tamil Nadu,Cuddalore,11.5867,79.5333,Tube Well,Vanathirayapuram II,67.0,24.63,27.8,24.41,24.86,27.1
Tamil Nadu,Cuddalore,11.3058,79.5939,Dug Well,Veeranatham,6.6,3.25,3.55,2.48,2.6,4.11
Tamil Nadu,Cuddalore,11.6686,79.5819,Dug Well,Vegakollai,13.8,4.590000000000001,9.85,6.24,7.15,9.65
Tamil Nadu,Cuddalore,11.5167,79.3375,Tube Well,Virudachalam1,48.25,51.440000000000005,51.11,49.73,50.58,50.97
Tamil Nadu,Cuddalore,11.5167,79.3333,Dug Well,Vridhachalam,19.2,8.23,9.08,8.14,9.2,12.1
